user_id,cluster_hdbscan,cluster_fuzzy,fuzzy_confidence,progression_flag,host_lane,expected_dollars_per_hour,priority_score
A31536,-1,3,0.207462106276302,DOWNGRADE,RETENTION,37375.86666666667,28489.329473437334
A27003,-1,3,0.3552303201109128,UPGRADE,GROWTH,9001.2,7260.089747214704
A38910,-1,3,0.5470324244712814,DOWNGRADE,RETENTION,8324.333333333334,7193.137406965465
A35630,-1,3,0.5702418650556884,DOWNGRADE,RETENTION,8058.266666666666,7019.3349706014915
A36598,-1,3,0.2227565396590245,DOWNGRADE,RETENTION,8833.866666666667,6774.047137809426
A6851,-1,3,0.2446585425042115,DOWNGRADE,RETENTION,6830.133333333334,5282.408473266163
A14821,-1,3,0.6316156406119516,UPGRADE,GROWTH,5676.45,5049.115380945514
A4842,-1,3,0.2239932017754665,UPGRADE,GROWTH,6514.200000000001,4997.680954501723
A38253,-1,3,0.8625313314647507,DOWNGRADE,RETENTION,4657.466666666666,4465.3899442424745
A22628,-1,3,0.8721913917673504,UPGRADE,GROWTH,4288.7,4124.26016656179
A7186,-1,3,0.9937616211857704,UPGRADE,GROWTH,3867.5,3860.26192098079
A49590,-1,3,0.9665650874051688,UPGRADE,GROWTH,3676.4,3639.523966200909
A33227,-1,3,0.8375002954297694,UPGRADE,GROWTH,3812.25,3626.4031503756414
A15763,-1,3,0.5969466279590253,DOWNGRADE,RETENTION,4071.6000000000004,3579.27836711939
A37367,-1,3,0.8173382618080374,UPGRADE,GROWTH,3727.75,3523.4748116364735
A33185,-1,3,0.5460050866815822,DOWNGRADE,RETENTION,3937.266666666667,3401.016954953218
A676,-1,3,0.5307783137187854,DOWNGRADE,RETENTION,3945.933333333334,3390.4780855473573
A37254,-1,3,0.5586231076408896,UPGRADE,GROWTH,3680.9500000000003,3193.5441184212195
A24300,-1,3,0.2618438816713116,UPGRADE,GROWTH,4017.8,3128.0709043336988
A40175,-1,3,0.4167555365579545,UPGRADE,GROWTH,3406.0,2810.0408072549176
A21302,-1,0,0.3181067338480003,DOWNGRADE,RETENTION,3340.133333333333,2656.8490049183833
A42787,-1,0,0.3216492733158564,DOWNGRADE,RETENTION,3331.4666666666667,2653.495816389466
A21354,-1,0,0.334151242476337,DOWNGRADE,RETENTION,3287.266666666667,2630.619938971981
A52138,-1,3,0.5295249652384091,UPGRADE,GROWTH,2921.75,2509.366870155596
A31858,-1,0,0.4776105890810872,DOWNGRADE,RETENTION,2765.5333333333333,2332.1277346703478
A32218,-1,3,0.3497622296939813,UPGRADE,GROWTH,2866.4,2307.2475365584482
A30785,-1,3,0.3561522948890167,UPGRADE,GROWTH,2814.0,2270.463767345308
A12790,-1,0,0.3669178118050235,DOWNGRADE,RETENTION,2686.6666666666665,2176.4024229815154
A22518,-1,0,0.5397162670788188,DOWNGRADE,RETENTION,2428.4,2093.074094892261
A48722,-1,0,0.5955507899470737,DOWNGRADE,RETENTION,2361.6666666666665,2075.114401344168
A48,-1,0,0.6167040639497692,DOWNGRADE,RETENTION,2314.0,2047.9159611939294
A4287,-1,0,0.6443826355672735,DOWNGRADE,RETENTION,2268.0666666666666,2026.0974995593506
A1166,-1,0,0.6690535104343598,DOWNGRADE,RETENTION,2245.5333333333333,2022.587921172544
A12536,-1,0,0.6884218140476354,DOWNGRADE,RETENTION,2210.0,2003.4236627135822
A12470,-1,0,0.6400487072146659,DOWNGRADE,RETENTION,2171.0,1936.5637230089117
A7793,-1,0,0.6041063778599275,DOWNGRADE,RETENTION,2193.5333333333333,1933.0115763478373
A39377,-1,0,0.3471912321291441,UPGRADE,GROWTH,2347.15,1887.4779701475761
A54417,-1,0,0.4076336945737743,UPGRADE,GROWTH,2229.5,1833.295796615669
A16624,-1,0,0.4119755959225417,UPGRADE,GROWTH,2213.25,1822.8164963026695
A54285,-1,0,0.8546040601505651,DOWNGRADE,RETENTION,1868.5333333333335,1787.030185291334
A21376,-1,3,0.4616965737318323,UPGRADE,GROWTH,2119.6,1777.3036173045973
A36660,-1,0,0.2969020190651495,UPGRADE,GROWTH,2236.0,1764.3618743889022
A43400,-1,0,0.3762054233301855,UPGRADE,GROWTH,2157.35,1753.6270310064126
A12702,-1,0,0.7530808405877248,DOWNGRADE,RETENTION,1886.7333333333333,1746.972150722797
